Orthogroup	athaliana	creinhardtii	esiliculosus	synechocystis	tisochrysis_lutea	Total
OG0000662	1	1	1	1	2	6
OG0000663	3	1	1	0	1	6
OG0000664	3	1	0	1	1	6
OG0000665	3	1	1	0	1	6
OG0000666	2	1	3	0	0	6
OG0000667	2	1	1	1	1	6
OG0000668	2	1	0	2	1	6
OG0000669	4	1	0	1	0	6
OG0000670	4	2	0	0	0	6
OG0000671	2	1	1	1	1	6
OG0000672	3	2	1	0	0	6
OG0000673	4	0	0	1	1	6
OG0000674	3	0	0	2	1	6
OG0000675	3	1	1	0	1	6
OG0000676	1	1	1	1	2	6
OG0000677	2	1	1	0	2	6
OG0000678	2	1	1	1	1	6
OG0000679	3	1	1	0	1	6
OG0000680	2	1	1	1	1	6
OG0000681	1	3	1	0	1	6
OG0000682	2	2	1	1	0	6
OG0000683	2	1	1	0	2	6
OG0000684	3	1	1	0	1	6
OG0000685	2	1	2	0	1	6
OG0000686	1	1	1	1	2	6
OG0000687	2	1	1	1	1	6
OG0000688	2	1	1	1	1	6
OG0000689	1	2	1	1	1	6
OG0000690	3	1	2	0	0	6
OG0000691	1	1	1	1	2	6
OG0000692	1	1	1	1	2	6
OG0000693	2	2	0	2	0	6
OG0000694	2	2	1	0	1	6
OG0000695	2	1	1	1	1	6
OG0000696	3	1	1	0	1	6
OG0000697	1	1	1	1	2	6
OG0000698	2	1	1	1	1	6
OG0000699	2	1	1	1	1	6
OG0000700	2	3	0	1	0	6
OG0000701	1	1	2	1	1	6
OG0000702	1	1	1	1	2	6
OG0000703	3	1	1	0	1	6
OG0000704	1	1	2	0	2	6
OG0000705	3	1	1	1	0	6
OG0000706	2	1	2	0	1	6
OG0000707	1	2	1	1	1	6
OG0000708	2	1	2	0	1	6
OG0000709	2	1	1	1	1	6
OG0000710	1	2	1	0	2	6
OG0000711	2	1	1	1	1	6
OG0000712	2	1	2	0	1	6
OG0000713	1	2	1	1	1	6
OG0000714	1	2	2	0	1	6
OG0000715	1	2	1	1	1	6
OG0000716	3	1	1	0	1	6
OG0000717	2	1	1	1	1	6
OG0000718	2	1	1	1	1	6
OG0000719	3	1	1	0	1	6
OG0000720	1	1	2	0	2	6
OG0000721	2	1	1	1	1	6
OG0000722	2	1	1	1	1	6
OG0000723	2	1	1	1	1	6
OG0000724	1	1	1	1	2	6
OG0000725	2	1	1	1	1	6
OG0000726	2	1	1	1	1	6
OG0000727	1	1	1	1	2	6
OG0000728	2	1	1	1	1	6
OG0000729	1	3	1	0	1	6
OG0000730	0	4	1	0	1	6
OG0000731	0	2	1	0	3	6
OG0000732	0	3	2	0	1	6
OG0000733	0	1	2	1	2	6
OG0000734	0	3	1	1	1	6
OG0000735	0	2	1	1	2	6
OG0000736	0	2	2	0	2	6
OG0000737	0	3	0	2	1	6
OG0000738	0	2	1	2	1	6
OG0000739	0	3	2	0	1	6
OG0000740	0	1	1	2	2	6
OG0000741	0	1	4	0	1	6
OG0000742	0	1	1	0	4	6
OG0000743	0	2	1	1	2	6
OG0000744	0	3	2	0	1	6
OG0000745	0	1	3	0	2	6
OG0000746	0	2	2	1	1	6
OG0000747	0	2	3	0	1	6
OG0000748	0	1	3	0	2	6
OG0000749	0	2	2	1	1	6
OG0000750	0	5	0	0	1	6
OG0000751	0	3	2	0	1	6
OG0000752	0	2	1	1	2	6
OG0000753	0	3	0	0	3	6
OG0000754	0	4	1	0	1	6
OG0000755	0	2	2	0	2	6
OG0000756	0	2	2	0	2	6
OG0000757	0	3	1	1	1	6
OG0000758	0	2	1	1	2	6
OG0000759	0	1	1	1	3	6
OG0000760	0	2	1	1	2	6
OG0000761	0	2	1	1	2	6
OG0000762	0	2	2	0	2	6
OG0000763	0	2	2	1	1	6
OG0000764	0	1	1	0	4	6
OG0000765	0	4	2	0	0	6
OG0000766	0	2	3	0	1	6
